Rinitials,Cinitials,Codedate,LSOA,IMGid,IMGdate,ADid,ASSETid,Long,Lat,ADtype,ADsize,ADprodtype,ADprod,ADbrand,Brandad,Admanagement,Price£,Pricesourcelink,Unit,Portion,Totalwt,Wtsource,Nutritionsource,Nutsourcelink,Fatdensity,Satfatdensity,Sugardensity,Sodiumdensity,Ekcaldensity,Fibredensity,Proteindensity,FVN,NPMscore,NPMstatus,ADcompliance
IW,IW,17/05/2023,E01011597,IMG_4652.JPG,11/05/2023,CF_GLMR_01_01,CF_GLMR_01,,,12,1,5,"Composite doors, windows, conservatories & bi folding doors ",PDS Windows,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4653.JPG,11/05/2023,CF_GLMR_02_01,CF_GLMR_02,,,12,1,5,"Composite doors, windows, conservatories & bi folding doors ",PDS Windows,1,Leeds City Council,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4657.JPG,11/05/2023,CF_GLMR_03_01,CF_GLMR_03,,,8,3,5,Broadband,EE,0,JCDecaux,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4658.JPG,11/05/2023,CF_GLMR_04_01,CF_GLMR_04,,,1,2,1,KFC Hot Wing Bucket (20 wings),KFC,0,Clear Channel,5.99,https://www.kfc.co.uk/kfc-hot-wings-bucket,g,73,1460,"FSA book, pg 58 fried chicken wing with bone",2,https://www.kfc.co.uk/nutrition-allergens?close,8.49,1.23,0.14,191.78,123.29,0,6.71,0,0,0,0
IW,IW,17/05/2023,E01011597,IMG_4659.JPG,11/05/2023,CF_GLMR_05_01,CF_GLMR_05,,,1,2,5,Clothing,JDWilliams,1,Clear Channel,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4660.JPG,11/05/2023,CF_GLMR_06_01,CF_GLMR_06,,,1,2,1,Cheesy Bacon Flatbread,McDonald's,0,Clear Channel,1.49,https://menuprice.co/uk/mcdonalds-breakfast/rolls-flatbread-menu?utm_content=cmp-true,g,115,115,"FPS book, (2 x rasher streaky bacon) + (2 x cheese slices) + flatbread (Tescos)",3 & 4,https://www.tesco.com/groceries/en-GB/products/291376220 and CoFID (19-018 and 12-527),18.75,8.57,2.61,1033,312.7,1.3,17.51,0,20,1,1
IW,IW,17/05/2023,E01011597,IMG_4660.JPG,11/05/2023,CF_GLMR_06_01,CF_GLMR_06,,,1,2,2,McCafé white coffee,McDonald's,0,Clear Channel,0.99,https://mcdonalds-menu.co.uk/,ml,300,300,product packacing,2,https://www.mcdonalds.com/gb/en-gb/product/white-coffee-regular.html,1.8,1.1,4.7,44,54,0,4.1,0,0,0,0
IW,IW,17/05/2023,E01011597,IMG_4661.JPG,11/05/2023,CF_GLMR_07_01,CF_GLMR_07,,,1,2,5,"Are You There God? It's Me, Margaret.' film ",Lionsgate,0,Clear Channel,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4662.JPG,11/05/2023,CF_GLMR_08_01,CF_GLMR_08,,,4,3,1,Aagrar (restaurant/event catering),Aagrar,0,Engage Outdoor Media,,,,,,,,,,,,,,,,,,,
IW,IW,17/05/2023,E01011597,IMG_4663.JPG,11/05/2023,CF_GLMR_08_02,CF_GLMR_08,,,4,3,5,Advertising space,Engage Outdoor Media ,1,Engage Outdoor Media,,,,,,,,,,,,,,,,,,,
