LSOA,IMD_quintile
E01011372,1 (most deprived)
E01011662,1 (most deprived)
E01011368,1 (most derpvied)
E01011363,1 (most deprived)
E01011625,1 (most deprived)
E01011427,1 (most deprived)
E01033021,2
E01011726,2
E01011448,2
E01011341,2
E01011319,2
E01011597,2
E01011267,3
E01011477,3
E01032489,3
E01011287,3
E01011388,3
E01011651,3
E01011445,4
E01011383,4
E01011329,4
E01011642,4
E01032496,4
E01033015,4
E01011605,5 (least deprived)
E01011694,5 (least deprived)
E01011522,5 (least deprived)
E01011397,5 (least deprived)
E01011353,5 (least deprived)
E01011271,5 (least deprived)
