Unnamed: 0,Rinitials,Cinitials,Codedate,LSOA,IMGid,IMGdate,ADid,ASSETid,Long,Lat,ADtype,ADsize,ADprodtype,ADprod,ADbrand,Brandad,Admanagement,Price£,Pricesourcelink,Unit,Portion,Totalwt,Wtsource,Nutritionsource,Nutsourcelink,Fatdensity,Satfatdensity,Sugardensity,Sodiumdensity,Ekcaldensity,Fibredensity,Proteindensity,FVN,NPMscore,NPMstatus,ADcompliance,...1,Latitude,Longitude,file_path,LSOA_naming,lsoa_code,IMD_Q,LSOA_name
913,MM,IW,20/06/2023,E01011267,20230518_085448,18/05/2023,GR_WQGB_07_01,GR_WQGB_07,,,11,1,1,Subway ham and salami foot long,Subway,1,Leeds City Council,5.69,https://subway-menu.net/subway-prices-uk,g,218.69,437.38,https://www.subway.com/-/media/Ireland/2022/W1/Jan22NutritionalInformation.pdf,2,https://www.subway.com/-/media/Ireland/2022/W1/Jan22NutritionalInformation.pdf,11,3.9,2.7,560,214,2,9.4,30.64,9,1,1,0,53.8742983,-1.697735089,,E01011267_Q3_WestQueenswayGreenbottom,E01011267,Q3,WestQueenswayGreenbottom
916,MM,IW,20/06/2023,E01011267,20230518_085441,18/05/2023,GR_WQGB_10_01,GR_WQGB_10,,,11,1,5,COVID-19 alert sign,Leeds City Council,0,Leeds City Council,,,,,,,,,,,,,,,,,,,,0,53.87436788,-1.697810191,,E01011267_Q3_WestQueenswayGreenbottom,E01011267,Q3,WestQueenswayGreenbottom
917,MM,IW,20/06/2023,E01011267,20230518_091831,18/05/2023,GR_WQGB_11_01,GR_WQGB_11,,,11,1,5,COVID-19 alert sign,Leeds City Council,0,Leeds City Council,,,,,,,,,,,,,,,,,,,,0,53.8750324,-1.703548603,,E01011267_Q3_WestQueenswayGreenbottom,E01011267,Q3,WestQueenswayGreenbottom
915,MM,IW,20/06/2023,E01011267,20230518_075434,18/05/2023,GR_WQGB_09_01,GR_WQGB_09,,,11,1,5,COVID-19 alert sign,Leeds City Council,0,Leeds City Council,,,,,,,,,,,,,,,,,,,,0,53.87487923,-1.703869233,,E01011267_Q3_WestQueenswayGreenbottom,E01011267,Q3,WestQueenswayGreenbottom
919,MM,IW,20/06/2023,E01011271,20230516_161418,16/05/2023,GR_FHHS_02_01,GR_FHHS_02,,,11,1,5,litter and recycling sign,Leeds City Council,0,Leeds City Council,,,,,,,,,,,,,,,,,,,,0,53.87465451,-1.715318685,C:\Users\mediwils\OneDrive - University of Leeds\ImagesFromLeedsLSOAs\E01011271_Q5_FieldheadHawkstones\20230516_161418.jpg,E01011271_Q5_FieldheadHawkstones,E01011271,Q5,FieldheadHawkstones
920,MM,IW,20/06/2023,E01011271,20230516_162345,16/05/2023,GR_FHHS_03_01,GR_FHHS_03,,,14,1,1,Fish and chips,Wetherby whaler,1,,,,,,,,,,,,,,,,,,,,1,0,53.87465451,-1.715318685,C:\Users\mediwils\OneDrive - University of Leeds\ImagesFromLeedsLSOAs\E01011271_Q5_FieldheadHawkstones\20230516_162345.jpg,E01011271_Q5_FieldheadHawkstones,E01011271,Q5,FieldheadHawkstones
921,MM,IW,20/06/2023,E01011271,20230516_162401,16/05/2023,GR_FHHS_04_01,GR_FHHS_04,,,14,1,5,Hairdressers,Bottega hairdressing,1,,,,,,,,,,,,,,,,,,,,,0,53.87465451,-1.715318685,C:\Users\mediwils\OneDrive - University of Leeds\ImagesFromLeedsLSOAs\E01011271_Q5_FieldheadHawkstones\20230516_162401.jpg,E01011271_Q5_FieldheadHawkstones,E01011271,Q5,FieldheadHawkstones
922,MM,IW,20/06/2023,E01011271,20230516_162732,16/05/2023,GR_FHHS_05_01,GR_FHHS_05,,,2,1,5,Mcard mobile app,metro,0,metro,,,,,,,,,,,,,,,,,,,,0,53.87530079,-1.717322158,C:\Users\mediwils\OneDrive - University of Leeds\ImagesFromLeedsLSOAs\E01011271_Q5_FieldheadHawkstones\20230516_162732.jpg,E01011271_Q5_FieldheadHawkstones,E01011271,Q5,FieldheadHawkstones
923,MM,IW,20/06/2023,E01011271,20230516_162732,16/05/2023,GR_FHHS_05_02,GR_FHHS_05,,,2,1,5,U19s bus travel card,metro,0,metro,,,,,,,,,,,,,,,,,,,,0,53.87530079,-1.717322158,C:\Users\mediwils\OneDrive - University of Leeds\ImagesFromLeedsLSOAs\E01011271_Q5_FieldheadHawkstones\20230516_162732.jpg,E01011271_Q5_FieldheadHawkstones,E01011271,Q5,FieldheadHawkstones
924,MM,IW,20/06/2023,E01011271,20230516_162732,16/05/2023,GR_FHHS_05_03,GR_FHHS_05,,,2,1,5,yournextbus,yournextbus,0,metro,,,,,,,,,,,,,,,,,,,,0,53.87530079,-1.717322158,C:\Users\mediwils\OneDrive - University of Leeds\ImagesFromLeedsLSOAs\E01011271_Q5_FieldheadHawkstones\20230516_162732.jpg,E01011271_Q5_FieldheadHawkstones,E01011271,Q5,FieldheadHawkstones
